seqname	source	feature	start	end	score	strand	frame	attributes	Name	orf_classification	gene	chr
chr1	geneDB	CDS	33058	36382	.	-	.	conserved fungal family	SPAC977.05c	.	.	1
chr1	geneDB	gene	33835	34348	.	+	.	methyltransferase (predicted)	SPAC977.03	.	.	1
chr1	geneDB	CDS	33835	34348	.	+	.	methyltransferase (predicted)	SPAC977.03	.	.	1
chr1	geneDB	gene	34349	39430	.	+	.	truncated C terminal region of membrane transporter	SPAC977.04	.	.	1
chr1	geneDB	CDS	34349	39430	.	+	.	truncated C terminal region of membrane transporter	SPAC977.04	.	.	1
chr1	geneDB	gene	36383	41770	.	-	.	intergenic RNA (predicted)	SPNCRNA.601	.	.	1
chr1	geneDB	CDS	36383	41770	.	-	.	intergenic RNA (predicted)	SPNCRNA.601	.	.	1
chr1	geneDB	gene	39431	40794	.	+	.	S. pombe specific DUF999 family protein 3	SPAC977.06	.	.	1
chr1	geneDB	CDS	39431	40794	.	+	.	S. pombe specific DUF999 family protein 3	SPAC977.06	.	.	1
chr1	geneDB	gene	40795	44703	.	+	.	non-coding RNA (predicted)	SPNCRNA.136	.	.	1
chr1	geneDB	CDS	40795	44703	.	+	.	non-coding RNA (predicted)	SPNCRNA.136	.	.	1
chr1	geneDB	gene	41771	43307	.	-	.	cell surface glycoprotein (predicted)	SPAC977.07c	.	.	1
chr1	geneDB	CDS	41771	43307	.	-	.	cell surface glycoprotein (predicted)	SPAC977.07c	.	.	1
chr1	geneDB	gene	43308	48160	.	-	.	phospholipase (predicted)	SPAC977.09c	.	.	1
chr1	geneDB	CDS	43308	48160	.	-	.	phospholipase (predicted)	SPAC977.09c	.	.	1
chr1	geneDB	gene	44704	51157	.	+	.	short chain dehydrogenase (predicted)	SPAC977.08	.	.	1
chr1	geneDB	CDS	44704	51157	.	+	.	short chain dehydrogenase (predicted)	SPAC977.08	.	.	1
chr1	geneDB	gene	48161	51545	.	-	.	intergenic RNA (predicted)	SPNCRNA.602	.	.	1
chr1	geneDB	CDS	48161	51545	.	-	.	intergenic RNA (predicted)	SPNCRNA.602	.	.	1
chr1	geneDB	gene	51158	52116	.	+	.	non-coding RNA, poly(A)-bearing RNA (predicted)	SPNCRNA.19	.	.	1
chr1	geneDB	CDS	51158	52116	.	+	.	non-coding RNA, poly(A)-bearing RNA (predicted)	SPNCRNA.19	.	.	1
chr1	geneDB	gene	51546	59105	.	-	.	hydrolase, pseudogene	SPAC977.13c	4 frameshifts	.	1
chr1	geneDB	CDS	51546	59105	.	-	.	hydrolase, pseudogene	SPAC977.13c	4 frameshifts	.	1
chr1	geneDB	gene	52117	54498	.	+	.	plasma membrane sodium ion/proton antiporter Sod2	SPAC977.10	.	.	1
chr1	geneDB	CDS	52117	54498	.	+	.	plasma membrane sodium ion/proton antiporter Sod2	SPAC977.10	.	.	1
chr1	geneDB	gene	54499	55273	.	+	.	No comment	LTR	Tf1-type LTR	.	1
chr1	geneDB	CDS	54499	55273	.	+	.	No comment	LTR	Tf1-type LTR	.	1
chr1	geneDB	gene	55274	56491	.	+	.	CRCB domain protein	SPAC977.11	.	.	1
chr1	geneDB	CDS	55274	56491	.	+	.	CRCB domain protein	SPAC977.11	.	.	1
chr1	geneDB	gene	56492	62988	.	+	.	L-asparaginase (predicted)	SPAC977.12	.	.	1
chr1	geneDB	CDS	56492	62988	.	+	.	L-asparaginase (predicted)	SPAC977.12	.	.	1
chr1	geneDB	gene	59106	60770	.	-	.	aldo/keto reductase, unknown biological role	SPAC977.14c	.	.	1
chr1	geneDB	CDS	59106	60770	.	-	.	aldo/keto reductase, unknown biological role	SPAC977.14c	.	.	1
chr1	geneDB	gene	60771	66679	.	-	.	dihydroxyacetone kinase Dak2	SPAC977.16c	.	.	1
chr1	geneDB	CDS	60771	66679	.	-	.	dihydroxyacetone kinase Dak2	SPAC977.16c	.	.	1
chr1	geneDB	gene	62989	67142	.	+	.	dienelactone hydrolase family	SPAC977.15	.	.	1
chr1	geneDB	CDS	62989	67142	.	+	.	dienelactone hydrolase family	SPAC977.15	.	.	1
chr1	geneDB	gene	66680	72380	.	-	.	non-coding RNA,poly(A)-bearing (predicted)	SPNCRNA.37	.	.	1
chr1	geneDB	CDS	66680	72380	.	-	.	non-coding RNA,poly(A)-bearing (predicted)	SPNCRNA.37	.	.	1
chr1	geneDB	gene	67143	71029	.	+	.	MIP water channel (predicted)	SPAC977.17	.	.	1
chr1	geneDB	CDS	67143	71029	.	+	.	MIP water channel (predicted)	SPAC977.17	.	.	1
chr1	geneDB	gene	71030	72343	.	+	.	non-coding RNA (predicted)	SPNCRNA.137	longest ORF with methionine is 34 amino acids	.	1
chr1	geneDB	CDS	71030	72343	.	+	.	non-coding RNA (predicted)	SPNCRNA.137	longest ORF with methionine is 34 amino acids	.	1
chr1	geneDB	gene	72344	73944	.	+	.	non-coding RNA (predicted)	SPNCRNA.83	Small duplicated region as identified by independent cDNAs AU009231 cDNA, clone and spc04643 AU009540, clone spc05042, also shows 78/95 (82%)conservation between SPAC4F8 Z98530 S.pombe chromosome I cosmid c4F8, and 84/95 (88%) conservation between MISPLSUR X06597 Fission yeast mtDNA for LSU rRNA gene	.	1
chr1	geneDB	CDS	72344	73944	.	+	.	non-coding RNA (predicted)	SPNCRNA.83	Small duplicated region as identified by independent cDNAs AU009231 cDNA, clone and spc04643 AU009540, clone spc05042, also shows 78/95 (82%)conservation between SPAC4F8 Z98530 S.pombe chromosome I cosmid c4F8, and 84/95 (88%) conservation between MISPLSUR X06597 Fission yeast mtDNA for LSU rRNA gene	.	1
chr1	geneDB	gene	72381	73977	.	-	.	No comment	LTR	.	.	1
chr1	geneDB	CDS	72381	73977	.	-	.	No comment	LTR	.	.	1
chr1	geneDB	gene	73945	79208	.	+	.	No comment	LTR	.	.	1
chr1	geneDB	CDS	73945	79208	.	+	.	No comment	LTR	.	.	1
chr1	geneDB	gene	73978	75910	.	-	.	sequence orphan	SPAPJ695.02	.	.	1
chr1	geneDB	CDS	73978	75910	.	-	.	sequence orphan	SPAPJ695.02	.	.	1
chr1	geneDB	gene	75911	77931	.	-	.	S. pombe specific UPF0321 family protein 3	SPAPJ695.01c	.	.	1
chr1	geneDB	CDS	75911	77931	.	-	.	S. pombe specific UPF0321 family protein 3	SPAPJ695.01c	.	.	1
chr1	geneDB	gene	77932	79768	.	-	.	No comment	LTR	fragment	.	1
chr1	geneDB	CDS	77932	79768	.	-	.	No comment	LTR	fragment	.	1
chr1	geneDB	gene	79209	79542	.	+	.	non-coding RNA (predicted)	SPNCRNA.138	longest ORF with methionine is 14 amino acids	.	1
chr1	geneDB	CDS	79209	79542	.	+	.	non-coding RNA (predicted)	SPNCRNA.138	longest ORF with methionine is 14 amino acids	.	1
chr1	geneDB	gene	79543	82935	.	+	.	non-coding RNA (predicted)	SPNCRNA.76	Small duplicated region as marked by 2 independent cDNAs AU010317 clone spc05710 and AU007551 clone spc02188, also hits 4376 4461 MISPCG X54421 S. pombe complete mitochondrial genome and MISPRNS X15738 Fission yeast mitDNA for small ribosomal RNA	.	1
chr1	geneDB	CDS	79543	82935	.	+	.	non-coding RNA (predicted)	SPNCRNA.76	Small duplicated region as marked by 2 independent cDNAs AU010317 clone spc05710 and AU007551 clone spc02188, also hits 4376 4461 MISPCG X54421 S. pombe complete mitochondrial genome and MISPRNS X15738 Fission yeast mitDNA for small ribosomal RNA	.	1
chr1	geneDB	gene	79769	82345	.	-	.	intergenic RNA (predicted)	SPNCRNA.603	.	.	1
chr1	geneDB	CDS	79769	82345	.	-	.	intergenic RNA (predicted)	SPNCRNA.603	.	.	1
chr1	geneDB	gene	82346	86278	.	-	.	sequence orphan	SPAC1F8.02c	.	.	1
chr1	geneDB	CDS	82346	86278	.	-	.	sequence orphan	SPAC1F8.02c	.	.	1
chr1	geneDB	gene	82936	90867	.	+	.	hexose transporter Ght3	SPAC1F8.01	.	.	1
chr1	geneDB	CDS	82936	90867	.	+	.	hexose transporter Ght3	SPAC1F8.01	.	.	1
chr1	geneDB	gene	86279	90259	.	-	.	siderophore-iron transporter Str3	SPAC1F8.03c	.	.	1
chr1	geneDB	CDS	86279	90259	.	-	.	siderophore-iron transporter Str3	SPAC1F8.03c	.	.	1
chr1	geneDB	gene	90260	91753	.	-	.	intergenic RNA (predicted)	SPNCRNA.604	.	.	1
chr1	geneDB	CDS	90260	91753	.	-	.	intergenic RNA (predicted)	SPNCRNA.604	.	.	1
chr1	geneDB	gene	90868	90948	.	+	.	non-coding RNA (predicted)	SPNCRNA.139	longest ORF with methionine is 38 amino acidswarning, this transcript could be on either strand	.	1
chr1	geneDB	CDS	90868	90948	.	+	.	non-coding RNA (predicted)	SPNCRNA.139	longest ORF with methionine is 38 amino acidswarning, this transcript could be on either strand	.	1
chr1	geneDB	gene	90949	95999	.	+	.	antisense RNA (predicted)	SPNCRNA.605	.	.	1
chr1	geneDB	CDS	90949	95999	.	+	.	antisense RNA (predicted)	SPNCRNA.605	.	.	1
chr1	geneDB	gene	91754	93871	.	-	.	hydrolase (predicted)	SPAC1F8.04c	.	.	1
chr1	geneDB	CDS	91754	93871	.	-	.	hydrolase (predicted)	SPAC1F8.04c	.	.	1
chr1	geneDB	gene	93872	96525	.	-	.	antisense RNA (predicted)	SPNCRNA.606	.	.	1
chr1	geneDB	CDS	93872	96525	.	-	.	antisense RNA (predicted)	SPNCRNA.606	.	.	1
chr1	geneDB	gene	96000	98630	.	+	.	sequence orphan	SPAC1F8.05	.	.	1
chr1	geneDB	CDS	96000	98630	.	+	.	sequence orphan	SPAC1F8.05	.	.	1
chr1	geneDB	gene	96526	99228	.	-	.	No comment	LTR	.	.	1
chr1	geneDB	CDS	96526	99228	.	-	.	No comment	LTR	.	.	1
chr1	geneDB	gene	98631	100010	.	+	.	No comment	LTR	.	.	1
chr1	geneDB	CDS	98631	100010	.	+	.	No comment	LTR	.	.	1
chr1	geneDB	gene	99229	101140	.	-	.	antisense RNA (predicted)	SPNCRNA.607	.	.	1
chr1	geneDB	CDS	99229	101140	.	-	.	antisense RNA (predicted)	SPNCRNA.607	.	.	1
chr1	geneDB	gene	100011	103940	.	+	.	cell surface glycoprotein	SPAC1F8.06	.	.	1
chr1	geneDB	CDS	100011	103940	.	+	.	cell surface glycoprotein	SPAC1F8.06	.	.	1
chr1	geneDB	gene	101141	103544	.	-	.	pyruvate decarboxylase (predicted)	SPAC1F8.07c	.	.	1
chr1	geneDB	CDS	101141	103544	.	-	.	pyruvate decarboxylase (predicted)	SPAC1F8.07c	.	.	1
chr1	geneDB	gene	103545	109147	.	-	.	conserved fungal protein	SPAC11D3.01c	.	.	1
chr1	geneDB	CDS	103545	109147	.	-	.	conserved fungal protein	SPAC11D3.01c	.	.	1
chr1	geneDB	gene	103941	106348	.	+	.	sequence orphan	SPAC1F8.08	.	.	1
chr1	geneDB	CDS	103941	106348	.	+	.	sequence orphan	SPAC1F8.08	.	.	1
chr1	geneDB	gene	106349	106964	.	+	.	No comment	LTR	Tf2 type	.	1
chr1	geneDB	CDS	106349	106964	.	+	.	No comment	LTR	Tf2 type	.	1
chr1	geneDB	gene	106965	109627	.	+	.	sequence orphan	SPAC11D3.19	.	.	1
chr1	geneDB	CDS	106965	109627	.	+	.	sequence orphan	SPAC11D3.19	.	.	1
chr1	geneDB	gene	109148	110281	.	-	.	ELLA family acetyltransferase (predicted)	SPAC11D3.02c	.	.	1
chr1	geneDB	CDS	109148	110281	.	-	.	ELLA family acetyltransferase (predicted)	SPAC11D3.02c	.	.	1
chr1	geneDB	gene	109628	114079	.	+	.	antisense RNA (predicted)	SPNCRNA.608	.	.	1
chr1	geneDB	CDS	109628	114079	.	+	.	antisense RNA (predicted)	SPNCRNA.608	.	.	1
chr1	geneDB	gene	110282	111913	.	-	.	conserved protein	SPAC11D3.03c	bacterial proteins are involved in urea metabolism	.	1
chr1	geneDB	CDS	110282	111913	.	-	.	conserved protein	SPAC11D3.03c	bacterial proteins are involved in urea metabolism	.	1
chr1	geneDB	gene	111914	113309	.	-	.	SnoaL	SPAC11D3.04c	.	.	1
chr1	geneDB	CDS	111914	113309	.	-	.	SnoaL	SPAC11D3.04c	.	.	1
chr1	geneDB	gene	113310	120108	.	-	.	transcription factor (predicted)	SPAC11D3.07c	.	.	1
chr1	geneDB	CDS	113310	120108	.	-	.	transcription factor (predicted)	SPAC11D3.07c	.	.	1
chr1	geneDB	gene	114080	116692	.	+	.	MFS family membrane transporter (predicted)	SPAC11D3.05	.	.	1
chr1	geneDB	CDS	114080	116692	.	+	.	MFS family membrane transporter (predicted)	SPAC11D3.05	.	.	1
chr1	geneDB	gene	116693	122844	.	+	.	MatE family transporter (predicted)	SPAC11D3.06	.	.	1
chr1	geneDB	CDS	116693	122844	.	+	.	MatE family transporter (predicted)	SPAC11D3.06	.	.	1
chr1	geneDB	gene	120109	122208	.	-	.	amino acid permease, unknown 1 (predicted)	SPAC11D3.08c	.	.	1
chr1	geneDB	CDS	120109	122208	.	-	.	amino acid permease, unknown 1 (predicted)	SPAC11D3.08c	.	.	1
chr1	geneDB	gene	122209	129185	.	-	.	zinc finger protein, truncated	SPAC11D3.11c	.	.	1
chr1	geneDB	CDS	122209	129185	.	-	.	zinc finger protein, truncated	SPAC11D3.11c	.	.	1
chr1	geneDB	gene	122845	125581	.	+	.	agmatinase (predicted)	SPAC11D3.09	.	.	1
chr1	geneDB	CDS	122845	125581	.	+	.	agmatinase (predicted)	SPAC11D3.09	.	.	1
chr1	geneDB	gene	125582	130328	.	+	.	nifs homolog, possible cysteine desulfurase	SPAC11D3.10	.	.	1
chr1	geneDB	CDS	125582	130328	.	+	.	nifs homolog, possible cysteine desulfurase	SPAC11D3.10	.	.	1
chr1	geneDB	gene	129186	135101	.	-	.	oxoprolinase (predicted)	SPAC11D3.14c	.	.	1
chr1	geneDB	CDS	129186	135101	.	-	.	oxoprolinase (predicted)	SPAC11D3.14c	.	.	1
chr1	geneDB	gene	130329	131202	.	+	.	ThiJ domain protein	SPAC11D3.13	.	.	1
chr1	geneDB	CDS	130329	131202	.	+	.	ThiJ domain protein	SPAC11D3.13	.	.	1
chr1	geneDB	gene	131203	135568	.	+	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.609	.	.	1
chr1	geneDB	CDS	131203	135568	.	+	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.609	.	.	1
chr1	geneDB	gene	135102	137355	.	-	.	antisense RNA (predicted)	SPNCRNA.610	.	.	1
chr1	geneDB	CDS	135102	137355	.	-	.	antisense RNA (predicted)	SPNCRNA.610	.	.	1
chr1	geneDB	gene	135569	136330	.	+	.	non-coding RNA (predicted)	SPNCRNA.147	longest ORF with methionine is 0 amino acidswarning, this transcript could be on either strand	.	1
chr1	geneDB	CDS	135569	136330	.	+	.	non-coding RNA (predicted)	SPNCRNA.147	longest ORF with methionine is 0 amino acidswarning, this transcript could be on either strand	.	1
chr1	geneDB	gene	136331	142674	.	+	.	5-oxoprolinase (ATP-hydrolizing) (predicted)	SPAC11D3.15	.	.	1
chr1	geneDB	CDS	136331	142674	.	+	.	5-oxoprolinase (ATP-hydrolizing) (predicted)	SPAC11D3.15	.	.	1
chr1	geneDB	gene	137356	141200	.	-	.	sequence orphan	SPAC11D3.16c	.	.	1
chr1	geneDB	CDS	137356	141200	.	-	.	sequence orphan	SPAC11D3.16c	.	.	1
chr1	geneDB	gene	141201	146358	.	-	.	nicotinic acid plasma membrane transporter (predicted)	SPAC11D3.18c	.	.	1
chr1	geneDB	CDS	141201	146358	.	-	.	nicotinic acid plasma membrane transporter (predicted)	SPAC11D3.18c	.	.	1
chr1	geneDB	gene	142675	144732	.	+	.	zf-C2H2 type zinc finger protein	SPAC11D3.17	.	.	1
chr1	geneDB	CDS	142675	144732	.	+	.	zf-C2H2 type zinc finger protein	SPAC11D3.17	.	.	1
chr1	geneDB	gene	144733	146973	.	+	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.611	.	.	1
chr1	geneDB	CDS	144733	146973	.	+	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.611	.	.	1
chr1	geneDB	gene	146359	148041	.	-	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.612	.	.	1
chr1	geneDB	CDS	146359	148041	.	-	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.612	.	.	1
chr1	geneDB	gene	146974	148361	.	+	.	DUF1445 family protein	SPAC5H10.01	.	.	1
chr1	geneDB	CDS	146974	148361	.	+	.	DUF1445 family protein	SPAC5H10.01	.	.	1
chr1	geneDB	gene	148042	148935	.	-	.	ThiJ domain protein	SPAC5H10.02c	.	.	1
chr1	geneDB	CDS	148042	148935	.	-	.	ThiJ domain protein	SPAC5H10.02c	.	.	1
chr1	geneDB	gene	148362	149657	.	+	.	antisense RNA (predicted)	SPNCRNA.613	.	.	1
chr1	geneDB	CDS	148362	149657	.	+	.	antisense RNA (predicted)	SPNCRNA.613	.	.	1
chr1	geneDB	gene	148936	155397	.	-	.	FAD binding oxidoreductase (predicted)	SPAC5H10.05c	.	.	1
chr1	geneDB	CDS	148936	155397	.	-	.	FAD binding oxidoreductase (predicted)	SPAC5H10.05c	.	.	1
chr1	geneDB	gene	149658	151912	.	+	.	5S rRNA	SPRRNA.10	.	.	1
chr1	geneDB	CDS	149658	151912	.	+	.	5S rRNA	SPRRNA.10	.	.	1
chr1	geneDB	gene	151913	153386	.	+	.	phosphoglycerate mutase family	SPAC5H10.03	.	.	1
chr1	geneDB	CDS	151913	153386	.	+	.	phosphoglycerate mutase family	SPAC5H10.03	.	.	1
chr1	geneDB	gene	153387	159202	.	+	.	NADPH dehydrogenase (predicted)	SPAC5H10.04	.	.	1
chr1	geneDB	CDS	153387	159202	.	+	.	NADPH dehydrogenase (predicted)	SPAC5H10.04	.	.	1
chr1	geneDB	gene	155398	157816	.	-	.	alcohol dehydrogenase Adh4	SPAC5H10.06c	.	.	1
chr1	geneDB	CDS	155398	157816	.	-	.	alcohol dehydrogenase Adh4	SPAC5H10.06c	.	.	1
chr1	geneDB	gene	157817	160945	.	-	.	pantoate-beta-alanine ligase	SPAC5H10.08c	possibly coexpressed with SPAC5H10.09c which is also involved in pantothenate biosynthesis	.	1
chr1	geneDB	CDS	157817	160945	.	-	.	pantoate-beta-alanine ligase	SPAC5H10.08c	possibly coexpressed with SPAC5H10.09c which is also involved in pantothenate biosynthesis	.	1
chr1	geneDB	gene	159203	161071	.	+	.	sequence orphan	SPAC5H10.07	.	.	1
chr1	geneDB	CDS	159203	161071	.	+	.	sequence orphan	SPAC5H10.07	.	.	1
chr1	geneDB	gene	160946	161780	.	-	.	3-methyl-2-oxobutanoatehydroxymethyltransferase(predicted)	SPAC5H10.09c	.	.	1
chr1	geneDB	CDS	160946	161780	.	-	.	3-methyl-2-oxobutanoatehydroxymethyltransferase(predicted)	SPAC5H10.09c	.	.	1
chr1	geneDB	gene	161072	162959	.	+	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.614	.	.	1
chr1	geneDB	CDS	161072	162959	.	+	.	antisense RNA (predicted), possible alternative UTR	SPNCRNA.614	.	.	1
chr1	geneDB	gene	161781	164455	.	-	.	antisense RNA (predicted)	SPNCRNA.615	.	.	1
chr1	geneDB	CDS	161781	164455	.	-	.	antisense RNA (predicted)	SPNCRNA.615	.	.	1
chr1	geneDB	gene	162960	164727	.	+	.	NADPH dehydrogenase (predicted)	SPAC5H10.10	.	.	1
chr1	geneDB	CDS	162960	164727	.	+	.	NADPH dehydrogenase (predicted)	SPAC5H10.10	.	.	1
chr1	geneDB	gene	164456	167535	.	-	.	acetylglucosaminyltransferase (predicted)	SPAC5H10.12c	.	.	1
chr1	geneDB	CDS	164456	167535	.	-	.	acetylglucosaminyltransferase (predicted)	SPAC5H10.12c	.	.	1
chr1	geneDB	gene	164728	166582	.	+	.	alpha-1,2-galactosyltransferase Gmh1 (predicted)	SPAC5H10.11	.	.	1
chr1	geneDB	CDS	164728	166582	.	+	.	alpha-1,2-galactosyltransferase Gmh1 (predicted)	SPAC5H10.11	.	.	1
chr1	geneDB	gene	166583	170236	.	+	.	antisense RNA (predicted)	SPNCRNA.616	.	.	1
chr1	geneDB	CDS	166583	170236	.	+	.	antisense RNA (predicted)	SPNCRNA.616	.	.	1
chr1	geneDB	gene	167536	169850	.	-	.	alpha-1,2-galactosyltransferase Gmh2 (predicted)	SPAC5H10.13c	.	.	1
chr1	geneDB	CDS	167536	169850	.	-	.	alpha-1,2-galactosyltransferase Gmh2 (predicted)	SPAC5H10.13c	.	.	1
chr1	geneDB	gene	169851	174373	.	-	.	ubiquitin-protein ligase E3 Rad8	SPAC13G6.01c	.	.	1
chr1	geneDB	CDS	169851	174373	.	-	.	ubiquitin-protein ligase E3 Rad8	SPAC13G6.01c	.	.	1
chr1	geneDB	gene	170237	170708	.	+	.	antisense RNA (predicted)	SPNCRNA.617	.	.	1
chr1	geneDB	CDS	170237	170708	.	+	.	antisense RNA (predicted)	SPNCRNA.617	.	.	1
chr1	geneDB	gene	170709	175922	.	+	.	small nucleolar RNA snR97	SPSNORNA.49	.	.	1
chr1	geneDB	CDS	170709	175922	.	+	.	small nucleolar RNA snR97	SPSNORNA.49	.	.	1
chr1	geneDB	gene	174374	175771	.	-	.	40S ribosomal protein S3a	SPAC13G6.02c	.	.	1
chr1	geneDB	CDS	174374	175771	.	-	.	40S ribosomal protein S3a	SPAC13G6.02c	.	.	1
chr1	geneDB	gene	175772	177943	.	-	.	antisense RNA (predicted)	SPNCRNA.618	.	.	1
chr1	geneDB	CDS	175772	177943	.	-	.	antisense RNA (predicted)	SPNCRNA.618	.	.	1
chr1	geneDB	gene	175923	177291	.	+	.	non-coding RNA (predicted)	SPNCRNA.141	longest ORF with methionine is 48 amino acidswarning, this transcript could be on either strand	.	1
chr1	geneDB	CDS	175923	177291	.	+	.	non-coding RNA (predicted)	SPNCRNA.141	longest ORF with methionine is 48 amino acidswarning, this transcript could be on either strand	.	1
chr1	geneDB	gene	177292	180422	.	+	.	GPI anchor biosynthesis protein Gpi7 (predicted)	SPAC13G6.03	.	.	1
chr1	geneDB	CDS	177292	180422	.	+	.	GPI anchor biosynthesis protein Gpi7 (predicted)	SPAC13G6.03	.	.	1
chr1	geneDB	gene	177944	182194	.	-	.	TRAPP complex subunit Trs33 (predicted)	SPAC13G6.05c	.	.	1
chr1	geneDB	CDS	177944	182194	.	-	.	TRAPP complex subunit Trs33 (predicted)	SPAC13G6.05c	.	.	1
